x	y
2.0275e7	0.9999319999999996
2.0325e7	0.9999339999999995
2.0375e7	0.9999339999999995
2.0425e7	0.9999349999999996
2.0475e7	0.9999369999999995
2.0525e7	0.9999399999999995
2.0575e7	0.9999419999999994
2.0625e7	0.9999429999999995
2.0675e7	0.9999459999999994
2.0725e7	0.9999469999999995
2.0775e7	0.9999489999999994
2.0825e7	0.9999519999999994
2.0875e7	0.9999549999999994
2.0925e7	0.9999589999999994
2.0975e7	0.9999629999999994
2.1025e7	0.9999659999999994
2.1075e7	0.9999659999999994
2.1125e7	0.9999669999999994
2.1175e7	0.9999679999999994
2.1225e7	0.9999679999999994
2.1275e7	0.9999699999999994
2.1325e7	0.9999709999999994
2.1375e7	0.9999709999999994
2.1425e7	0.9999719999999994
2.1475e7	0.9999739999999994
2.1525e7	0.9999739999999994
2.1575e7	0.9999739999999994
2.1625e7	0.9999769999999993
2.1675e7	0.9999769999999993
2.1725e7	0.9999779999999994
2.1775e7	0.9999789999999994
2.1825e7	0.9999789999999994
2.1875e7	0.9999789999999994
2.1925e7	0.9999809999999993
2.1975e7	0.9999819999999994
2.2025e7	0.9999829999999994
2.2075e7	0.9999829999999994
2.2125e7	0.9999839999999994
2.2175e7	0.9999849999999995
2.2225e7	0.9999849999999995
2.2275e7	0.9999859999999995
2.2325e7	0.9999879999999994
2.2375e7	0.9999889999999995
2.2425e7	0.9999889999999995
2.2475e7	0.9999899999999995
2.2525e7	0.9999909999999995
2.2575e7	0.9999919999999995
2.2625e7	0.9999929999999996
2.2675e7	0.9999929999999996
2.2725e7	0.9999939999999996
2.2775e7	0.9999939999999996
2.2825e7	0.9999939999999996
2.2875e7	0.9999939999999996
2.2925e7	0.9999939999999996
2.2975e7	0.9999939999999996
2.3025e7	0.9999939999999996
2.3075e7	0.9999939999999996
2.3125e7	0.9999939999999996
2.3175e7	0.9999939999999996
2.3225e7	0.9999939999999996
2.3275e7	0.9999949999999996
2.3325e7	0.9999949999999996
2.3375e7	0.9999959999999997
2.3425e7	0.9999959999999997
2.3475e7	0.9999959999999997
2.3525e7	0.9999959999999997
2.3575e7	0.9999959999999997
2.3625e7	0.9999969999999997
2.3675e7	0.9999969999999997
2.3725e7	0.9999969999999997
2.3775e7	0.9999969999999997
2.3825e7	0.9999969999999997
2.3875e7	0.9999969999999997
2.3925e7	0.9999969999999997
2.3975e7	0.9999969999999997
2.4025e7	0.9999969999999997
2.4075e7	0.9999969999999997
2.4125e7	0.9999969999999997
2.4175e7	0.9999969999999997
2.4225e7	0.9999969999999997
2.4275e7	0.9999969999999997
2.4325e7	0.9999969999999997
2.4375e7	0.9999969999999997
2.4425e7	0.9999969999999997
2.4475e7	0.9999969999999997
2.4525e7	0.9999969999999997
2.4575e7	0.9999969999999997
2.4625e7	0.9999969999999997
2.4675e7	0.9999969999999997
2.4725e7	0.9999969999999997
2.4775e7	0.9999979999999997
2.4825e7	0.9999979999999997
2.4875e7	0.9999979999999997
2.4925e7	0.9999979999999997
2.4975e7	0.9999979999999997
2.5025e7	0.9999979999999997
2.5075e7	0.9999979999999997
2.5125e7	0.9999979999999997
2.5175e7	0.9999979999999997
2.5225e7	0.9999979999999997
2.5275e7	0.9999989999999997
2.5325e7	0.9999989999999997
2.5375e7	0.9999989999999997
2.5425e7	0.9999989999999997
2.5475e7	0.9999989999999997
2.5525e7	0.9999989999999997
2.5575e7	0.9999989999999997
2.5625e7	0.9999989999999997
2.5675e7	0.9999989999999997
2.5725e7	0.9999989999999997
2.5775e7	0.9999989999999997
2.5825e7	0.9999989999999997
2.5875e7	0.9999989999999997
2.5925e7	0.9999989999999997
2.5975e7	0.9999989999999997
2.6025e7	0.9999989999999997
2.6075e7	0.9999989999999997
2.6125e7	0.9999989999999997
2.6175e7	0.9999989999999997
2.6225e7	0.9999989999999997
2.6275e7	0.9999989999999997
2.6325e7	0.9999989999999997
2.6375e7	0.9999989999999997
2.6425e7	0.9999989999999997
2.6475e7	0.9999989999999997
2.6525e7	0.9999989999999997
2.6575e7	0.9999999999999998
